cust_id,product_id,month,feature_name,usage_events,feature_score,adoption_level
C0001,P0165,2025-07-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0165,2025-08-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0165,2026-01-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0165,2026-04-01,Advanced Threat Prevention,2525053,0.7,active
C0001,P0165,2026-06-01,Advanced Threat Prevention,3342498,1.0,deep
C0001,P0165,2025-07-01,App-ID,0,0.0,not_enabled
C0001,P0165,2025-08-01,App-ID,0,0.0,not_enabled
C0001,P0165,2026-01-01,App-ID,0,0.0,not_enabled
C0001,P0165,2026-04-01,App-ID,1099754,1.0,deep
C0001,P0165,2026-06-01,App-ID,981528,0.7,active
C0001,P0165,2025-09-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2025-10-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2025-11-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2025-12-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2026-02-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2026-03-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2026-05-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0165,2025-07-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0165,2025-08-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0165,2026-01-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0165,2026-04-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0165,2026-06-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0165,2025-09-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0165,2025-10-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0165,2025-11-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0165,2025-12-01,Advanced URL Filtering,90129,0.7,active
C0001,P0165,2026-02-01,Advanced URL Filtering,83040,0.7,active
C0001,P0165,2026-03-01,Advanced URL Filtering,160891,1.0,deep
C0001,P0165,2026-05-01,Advanced URL Filtering,121591,0.7,active
C0001,P0248,2025-07-01,Decryption,0,0.0,not_enabled
C0001,P0248,2025-08-01,Decryption,0,0.0,not_enabled
C0001,P0248,2026-01-01,Decryption,0,0.0,not_enabled
C0001,P0248,2026-04-01,Decryption,0,0.0,not_enabled
C0001,P0248,2026-06-01,Decryption,0,0.0,not_enabled
C0001,P0248,2025-07-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0248,2025-08-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0248,2026-01-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0248,2026-04-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0248,2026-06-01,Advanced WildFire,54331,1.0,deep
C0001,P0248,2025-09-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0248,2025-10-01,Advanced DNS Security,0,0.0,not_enabled
C0001,P0248,2025-11-01,Advanced DNS Security,64469,0.7,active
C0001,P0248,2025-12-01,Advanced DNS Security,85266,0.7,active
C0001,P0248,2026-02-01,Advanced DNS Security,48331,0.7,active
C0001,P0248,2026-03-01,Advanced DNS Security,63152,0.7,active
C0001,P0248,2026-05-01,Advanced DNS Security,66009,0.7,active
C0001,P0248,2025-07-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0248,2025-08-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0248,2026-01-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0248,2026-04-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0248,2026-06-01,Advanced URL Filtering,0,0.0,not_enabled
C0001,P0248,2025-07-01,GlobalProtect,0,0.0,not_enabled
C0001,P0248,2025-08-01,GlobalProtect,0,0.0,not_enabled
C0001,P0248,2026-01-01,GlobalProtect,0,0.0,not_enabled
C0001,P0248,2026-04-01,GlobalProtect,0,0.0,not_enabled
C0001,P0248,2026-06-01,GlobalProtect,0,0.0,not_enabled
C0001,P0253,2025-09-01,App-ID,0,0.0,not_enabled
C0001,P0253,2025-10-01,App-ID,0,0.0,not_enabled
C0001,P0253,2025-11-01,App-ID,0,0.0,not_enabled
C0001,P0253,2025-12-01,App-ID,921548,1.0,deep
C0001,P0253,2026-02-01,App-ID,746544,0.7,active
C0001,P0253,2026-03-01,App-ID,363218,0.7,active
C0001,P0253,2026-05-01,App-ID,1035351,1.0,deep
C0001,P0253,2025-09-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2025-10-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2025-11-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2025-12-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2026-02-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2026-03-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2026-05-01,Advanced WildFire,0,0.0,not_enabled
C0001,P0253,2025-09-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0253,2025-10-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0253,2025-11-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0253,2025-12-01,Advanced Threat Prevention,55914,1.0,deep
C0001,P0253,2026-02-01,Advanced Threat Prevention,40957,0.7,active
C0001,P0253,2026-03-01,Advanced Threat Prevention,60154,1.0,deep
C0001,P0253,2026-05-01,Advanced Threat Prevention,41883,0.7,active
C0001,P0253,2025-09-01,Decryption,0,0.0,not_enabled
C0001,P0253,2025-10-01,Decryption,0,0.0,not_enabled
C0001,P0253,2025-11-01,Decryption,0,0.0,not_enabled
C0001,P0253,2025-12-01,Decryption,0,0.0,not_enabled
C0001,P0253,2026-02-01,Decryption,0,0.0,not_enabled
C0001,P0253,2026-03-01,Decryption,0,0.0,not_enabled
C0001,P0253,2026-05-01,Decryption,0,0.0,not_enabled
C0001,P0194,2025-09-01,Enterprise DLP,0,0.0,not_enabled
C0001,P0194,2025-10-01,Enterprise DLP,27227,0.3,enabled_idle
C0001,P0194,2025-11-01,Enterprise DLP,170345,1.0,deep
C0001,P0194,2025-12-01,Enterprise DLP,82809,0.7,active
C0001,P0194,2026-02-01,Enterprise DLP,45005,0.7,active
C0001,P0194,2026-03-01,Enterprise DLP,151963,1.0,deep
C0001,P0194,2026-05-01,Enterprise DLP,168900,1.0,deep
C0001,P0194,2025-09-01,Advanced Threat Prevention,0,0.0,not_enabled
C0001,P0194,2025-10-01,Advanced Threat Prevention,0,0.0,not_enabled
