cust_id,product_id,month,lur,util_health,feature_adoption,sustained_usage,ttv_score,ever_active_before,arr,vrs,flag_single_feature_dependency,flag_expansion,state,cust_name,segment,region,product_name,product_platform
C0002,P0149,2025-07-01,0.0,0.0,0.0,0.0,,0,137504.95,0.0,false,false,Grace Period,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2025-08-01,0.0,0.0,0.0,0.0,0.467,0,137504.95,7.0,false,false,Shelfware Risk,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2025-09-01,0.22,0.444,0.0,0.5,0.467,0,137504.95,35.0,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2025-10-01,0.48,0.756,0.14,0.8,0.467,1,137504.95,57.0,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2025-11-01,0.663,0.916,0.14,1.0,0.467,1,137504.95,67.5,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2025-12-01,0.481,0.757,0.14,1.0,0.467,1,137504.95,62.0,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-01-01,0.553,0.843,0.14,1.0,0.467,1,137504.95,65.0,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-02-01,0.671,0.918,0.14,1.0,0.467,1,137504.95,67.6,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-03-01,0.779,0.945,0.2,1.0,0.467,1,137504.95,70.1,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-04-01,0.932,0.983,0.14,1.0,0.467,1,137504.95,69.9,true,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-05-01,0.686,0.922,0.28,1.0,0.467,1,137504.95,71.3,false,false,Onboarding Stall,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0002,P0149,2026-06-01,0.705,0.926,0.4,1.0,0.467,1,137504.95,74.4,false,false,Value Realized,Doyle Ltd,Mid-Market,APAC,PA-5410 SKU-0149,hardware_ngfw
C0006,P0061,2025-08-01,0.708,0.927,0.167,1.0,1.0,0,34589.04,76.6,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2025-09-01,0.746,0.937,0.4,1.0,1.0,1,34589.04,82.8,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2025-10-01,0.929,0.982,0.35,1.0,1.0,1,34589.04,83.1,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2025-11-01,0.977,0.994,0.5,1.0,1.0,1,34589.04,87.3,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2025-12-01,0.713,0.928,0.4,1.0,1.0,1,34589.04,82.5,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-01-01,0.737,0.934,0.35,1.0,1.0,1,34589.04,81.4,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-02-01,0.846,0.961,0.517,1.0,1.0,1,34589.04,86.6,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-03-01,0.596,0.895,0.567,1.0,1.0,1,34589.04,85.5,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-04-01,0.539,0.827,0.633,1.0,1.0,1,34589.04,84.8,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-05-01,0.613,0.903,0.733,1.0,1.0,1,34589.04,89.9,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0006,P0061,2026-06-01,0.586,0.883,0.583,1.0,1.0,1,34589.04,85.5,false,false,Value Realized,"Gardner, Robinson and Lawrence",Mid-Market,AMER,Prisma Access Remote Networks SKU-0061,sase
C0009,P0032,2025-07-01,1.126,1.0,0.75,1.0,1.0,0,26167.08,93.8,false,false,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2025-08-01,1.349,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2025-09-01,1.352,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2025-10-01,1.518,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2025-11-01,1.368,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2025-12-01,1.383,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
C0009,P0032,2026-01-01,1.715,0.8,1.0,1.0,1.0,1,26167.08,93.0,false,true,Value Realized,Garcia-James,Mid-Market,AMER,VM-700 SKU-0032,software_ngfw
