consumption_id,entitlement_id,cust_id,product_id,month,consumed_units,licensed_amount
U000001,E00001,C0001,P0165,2025-07-01,0.0,1211
U000002,E00001,C0001,P0165,2025-08-01,0.0,1211
U000003,E00001,C0001,P0165,2025-09-01,266.42,1211
U000004,E00001,C0001,P0165,2025-10-01,581.28,1211
U000005,E00001,C0001,P0165,2025-11-01,1035.0,1211
U000006,E00001,C0001,P0165,2025-12-01,486.5,1211
U000007,E00001,C0001,P0165,2026-01-01,941.04,1211
U000008,E00001,C0001,P0165,2026-02-01,977.02,1211
U000009,E00001,C0001,P0165,2026-03-01,879.5,1211
U000010,E00001,C0001,P0165,2026-04-01,995.06,1211
U000011,E00001,C0001,P0165,2026-05-01,737.34,1211
U000012,E00001,C0001,P0165,2026-06-01,859.03,1211
U000013,E00002,C0001,P0248,2025-07-01,0.0,1683
U000014,E00002,C0001,P0248,2025-08-01,0.0,1683
U000015,E00002,C0001,P0248,2025-09-01,370.26,1683
U000016,E00002,C0001,P0248,2025-10-01,807.84,1683
U000017,E00002,C0001,P0248,2025-11-01,1185.96,1683
U000018,E00002,C0001,P0248,2025-12-01,1296.14,1683
U000019,E00002,C0001,P0248,2026-01-01,1457.43,1683
U000020,E00002,C0001,P0248,2026-02-01,897.26,1683
U000021,E00002,C0001,P0248,2026-03-01,1161.67,1683
U000022,E00002,C0001,P0248,2026-04-01,1284.41,1683
U000023,E00002,C0001,P0248,2026-05-01,1439.5,1683
U000024,E00002,C0001,P0248,2026-06-01,1153.39,1683
U000025,E00003,C0001,P0253,2025-07-01,0.0,22
U000026,E00003,C0001,P0253,2025-08-01,0.0,22
U000027,E00003,C0001,P0253,2025-09-01,4.84,22
U000028,E00003,C0001,P0253,2025-10-01,10.56,22
U000029,E00003,C0001,P0253,2025-11-01,20.52,22
U000030,E00003,C0001,P0253,2025-12-01,15.72,22
U000031,E00003,C0001,P0253,2026-01-01,18.74,22
U000032,E00003,C0001,P0253,2026-02-01,17.42,22
U000033,E00003,C0001,P0253,2026-03-01,18.66,22
U000034,E00003,C0001,P0253,2026-04-01,14.41,22
U000035,E00003,C0001,P0253,2026-05-01,13.13,22
U000036,E00003,C0001,P0253,2026-06-01,20.72,22
U000037,E00004,C0001,P0194,2025-07-01,0.0,580
U000038,E00004,C0001,P0194,2025-08-01,0.0,580
U000039,E00004,C0001,P0194,2025-09-01,127.6,580
U000040,E00004,C0001,P0194,2025-10-01,278.4,580
U000041,E00004,C0001,P0194,2025-11-01,367.02,580
U000042,E00004,C0001,P0194,2025-12-01,625.31,580
U000043,E00004,C0001,P0194,2026-01-01,384.3,580
U000044,E00004,C0001,P0194,2026-02-01,359.14,580
U000045,E00004,C0001,P0194,2026-03-01,435.16,580
U000046,E00004,C0001,P0194,2026-04-01,462.41,580
U000047,E00004,C0001,P0194,2026-05-01,449.9,580
U000048,E00004,C0001,P0194,2026-06-01,335.29,580
U000049,E00005,C0002,P0149,2025-07-01,0.0,11
U000050,E00005,C0002,P0149,2025-08-01,0.0,11
U000051,E00005,C0002,P0149,2025-09-01,2.42,11
U000052,E00005,C0002,P0149,2025-10-01,5.28,11
U000053,E00005,C0002,P0149,2025-11-01,7.29,11
U000054,E00005,C0002,P0149,2025-12-01,5.29,11
U000055,E00005,C0002,P0149,2026-01-01,6.08,11
U000056,E00005,C0002,P0149,2026-02-01,7.38,11
U000057,E00005,C0002,P0149,2026-03-01,8.57,11
U000058,E00005,C0002,P0149,2026-04-01,10.25,11
U000059,E00005,C0002,P0149,2026-05-01,7.55,11
U000060,E00005,C0002,P0149,2026-06-01,7.75,11
U000061,E00006,C0002,P0426,2025-07-01,0.0,4474
U000062,E00006,C0002,P0426,2025-08-01,0.0,4474
U000063,E00006,C0002,P0426,2025-09-01,984.28,4474
U000064,E00006,C0002,P0426,2025-10-01,2147.52,4474
U000065,E00006,C0002,P0426,2025-11-01,2973.95,4474
U000066,E00006,C0002,P0426,2025-12-01,3280.44,4474
U000067,E00006,C0002,P0426,2026-01-01,3307.93,4474
U000068,E00006,C0002,P0426,2026-02-01,3335.4,4474
U000069,E00006,C0002,P0426,2026-03-01,3101.17,4474
U000070,E00006,C0002,P0426,2026-04-01,3466.19,4474
U000071,E00006,C0002,P0426,2026-05-01,3078.05,4474
U000072,E00006,C0002,P0426,2026-06-01,3686.54,4474
U000073,E00007,C0002,P0148,2025-07-01,0.0,563
U000074,E00007,C0002,P0148,2025-08-01,0.0,563
U000075,E00007,C0002,P0148,2025-09-01,123.86,563
U000076,E00007,C0002,P0148,2025-10-01,270.24,563
U000077,E00007,C0002,P0148,2025-11-01,402.3,563
U000078,E00007,C0002,P0148,2025-12-01,465.34,563
U000079,E00007,C0002,P0148,2026-01-01,484.89,563
U000080,E00007,C0002,P0148,2026-02-01,386.58,563
U000081,E00007,C0002,P0148,2026-03-01,492.15,563
U000082,E00007,C0002,P0148,2026-04-01,276.76,563
U000083,E00007,C0002,P0148,2026-05-01,357.91,563
U000084,E00007,C0002,P0148,2026-06-01,429.05,563
U000085,E00008,C0003,P0296,2025-09-01,122.42,185
U000086,E00008,C0003,P0296,2025-10-01,105.3,185
U000087,E00008,C0003,P0296,2025-11-01,124.35,185
U000088,E00008,C0003,P0296,2025-12-01,137.62,185
U000089,E00008,C0003,P0296,2026-01-01,121.14,185
U000090,E00008,C0003,P0296,2026-02-01,161.98,185
U000091,E00008,C0003,P0296,2026-03-01,116.2,185
U000092,E00008,C0003,P0296,2026-04-01,136.07,185
U000093,E00008,C0003,P0296,2026-05-01,144.67,185
U000094,E00008,C0003,P0296,2026-06-01,113.64,185
U000095,E00009,C0003,P0137,2025-07-01,527.08,775
U000096,E00009,C0003,P0137,2025-08-01,619.27,775
U000097,E00009,C0003,P0137,2025-09-01,433.38,775
U000098,E00009,C0003,P0137,2025-10-01,732.67,775
U000099,E00009,C0003,P0137,2025-11-01,564.82,775
U000100,E00009,C0003,P0137,2025-12-01,412.31,775
U000101,E00009,C0003,P0137,2026-01-01,513.92,775
U000102,E00009,C0003,P0137,2026-02-01,535.14,775
U000103,E00009,C0003,P0137,2026-03-01,358.79,775
U000104,E00009,C0003,P0137,2026-04-01,663.71,775
U000105,E00009,C0003,P0137,2026-05-01,478.47,775
U000106,E00009,C0003,P0137,2026-06-01,557.86,775
U000107,E00010,C0004,P0287,2025-10-01,7.83,11
U000108,E00010,C0004,P0287,2025-11-01,8.19,11
U000109,E00010,C0004,P0287,2025-12-01,6.45,11
U000110,E00010,C0004,P0287,2026-01-01,8.44,11
U000111,E00010,C0004,P0287,2026-02-01,7.44,11
U000112,E00010,C0004,P0287,2026-03-01,7.35,11
U000113,E00010,C0004,P0287,2026-04-01,7.49,11
U000114,E00010,C0004,P0287,2026-05-01,6.56,11
U000115,E00010,C0004,P0287,2026-06-01,6.88,11
U000116,E00011,C0004,P0359,2025-07-01,1.37,2
U000117,E00011,C0004,P0359,2025-08-01,1.45,2
U000118,E00011,C0004,P0359,2025-09-01,1.26,2
U000119,E00011,C0004,P0359,2025-10-01,1.35,2
U000120,E00011,C0004,P0359,2025-11-01,1.78,2
U000121,E00011,C0004,P0359,2025-12-01,1.38,2
U000122,E00011,C0004,P0359,2026-01-01,1.81,2
U000123,E00011,C0004,P0359,2026-02-01,1.48,2
U000124,E00011,C0004,P0359,2026-03-01,1.28,2
U000125,E00011,C0004,P0359,2026-04-01,1.5,2
U000126,E00011,C0004,P0359,2026-05-01,1.49,2
U000127,E00011,C0004,P0359,2026-06-01,1.08,2
U000128,E00012,C0004,P0443,2025-07-01,5.45,10
U000129,E00012,C0004,P0443,2025-08-01,6.95,10
U000130,E00012,C0004,P0443,2025-09-01,5.97,10
U000131,E00012,C0004,P0443,2025-10-01,3.16,10
U000132,E00012,C0004,P0443,2025-11-01,7.96,10
U000133,E00012,C0004,P0443,2025-12-01,5.41,10
U000134,E00012,C0004,P0443,2026-01-01,6.39,10
U000135,E00012,C0004,P0443,2026-02-01,6.69,10
U000136,E00012,C0004,P0443,2026-03-01,5.58,10
U000137,E00012,C0004,P0443,2026-04-01,8.4,10
U000138,E00012,C0004,P0443,2026-05-01,7.44,10
U000139,E00012,C0004,P0443,2026-06-01,8.09,10
U000140,E00013,C0004,P0086,2025-07-01,116.78,143
U000141,E00013,C0004,P0086,2025-08-01,112.24,143
U000142,E00013,C0004,P0086,2025-09-01,102.6,143
U000143,E00013,C0004,P0086,2025-10-01,84.08,143
U000144,E00013,C0004,P0086,2025-11-01,98.65,143
U000145,E00013,C0004,P0086,2025-12-01,135.82,143
U000146,E00013,C0004,P0086,2026-01-01,91.35,143
U000147,E00013,C0004,P0086,2026-02-01,77.53,143
U000148,E00013,C0004,P0086,2026-03-01,108.7,143
U000149,E00013,C0004,P0086,2026-04-01,95.72,143
U000150,E00013,C0004,P0086,2026-05-01,88.54,143
U000151,E00013,C0004,P0086,2026-06-01,106.66,143
U000152,E00014,C0004,P0334,2025-09-01,208.28,311
U000153,E00014,C0004,P0334,2025-10-01,282.72,311
U000154,E00014,C0004,P0334,2025-11-01,269.51,311
U000155,E00014,C0004,P0334,2025-12-01,255.65,311
U000156,E00014,C0004,P0334,2026-01-01,255.42,311
U000157,E00014,C0004,P0334,2026-02-01,204.81,311
U000158,E00014,C0004,P0334,2026-03-01,302.38,311
U000159,E00014,C0004,P0334,2026-04-01,214.45,311
U000160,E00014,C0004,P0334,2026-05-01,199.43,311
U000161,E00014,C0004,P0334,2026-06-01,264.25,311
U000162,E00015,C0004,P0114,2025-10-01,4874.5,5071
U000163,E00015,C0004,P0114,2025-11-01,3351.88,5071
U000164,E00015,C0004,P0114,2025-12-01,4693.88,5071
U000165,E00015,C0004,P0114,2026-01-01,4197.89,5071
U000166,E00015,C0004,P0114,2026-02-01,2975.99,5071
U000167,E00015,C0004,P0114,2026-03-01,2689.41,5071
U000168,E00015,C0004,P0114,2026-04-01,3109.0,5071
U000169,E00015,C0004,P0114,2026-05-01,4515.29,5071
