entitlement_id,product_id,cust_id,units_purchased,licensed_amount,unit_price,arr,start_date,end_date,is_expansion
E00001,P0165,C0001,1211,1211,31.15,37722.65,2025-07-01,2026-07-01,False
E00002,P0248,C0001,1683,1683,30.49,51314.67,2025-07-01,2026-07-01,False
E00003,P0253,C0001,22,22,40389.74,888574.28,2025-07-01,2026-07-01,False
E00004,P0194,C0001,580,580,111.13,64455.4,2025-07-01,2026-07-01,False
E00005,P0149,C0002,11,11,12500.45,137504.95,2025-07-01,2026-07-01,False
E00006,P0426,C0002,4474,4474,72.74,325438.76,2025-07-01,2026-07-01,False
E00007,P0148,C0002,563,563,32.85,18494.55,2025-07-01,2026-07-01,False
E00008,P0296,C0003,185,185,214.86,39749.1,2025-09-01,2026-09-01,False
E00009,P0137,C0003,775,775,28.44,22041.0,2025-07-01,2026-07-01,False
E00010,P0287,C0004,11,11,42008.29,462091.19,2025-10-01,2026-10-01,False
E00011,P0359,C0004,2,2,39213.91,78427.82,2025-07-01,2026-07-01,False
E00012,P0443,C0004,10,10,47788.37,477883.7,2025-07-01,2026-07-01,False
E00013,P0086,C0004,143,143,102.24,14620.32,2025-07-01,2026-07-01,False
E00014,P0334,C0004,311,311,110.12,34247.32,2025-09-01,2026-09-01,False
E00015,P0114,C0004,5071,5071,74.97,380172.87,2025-10-01,2026-10-01,False
E00016,P0401,C0004,868,868,30.83,26760.44,2025-07-01,2026-07-01,False
E00017,P0139,C0005,17,17,43328.95,736592.15,2025-07-01,2026-07-01,False
E00018,P0483,C0005,390,390,119.2,46488.0,2025-10-01,2026-10-01,False
E00019,P0039,C0005,1341,1341,33.34,44708.94,2025-07-01,2026-07-01,False
E00020,P0371,C0006,463,463,28.21,13061.23,2025-07-01,2026-07-01,False
E00021,P0342,C0006,1741,1741,31.91,55555.31,2025-07-01,2026-07-01,False
E00022,P0148,C0006,438,438,33.76,14786.88,2025-07-01,2026-07-01,False
E00023,P0087,C0006,25,25,39097.7,977442.5,2025-10-01,2026-10-01,False
E00024,P0299,C0006,13,13,35075.8,455985.4,2025-07-01,2026-07-01,False
E00025,P0061,C0006,863,863,40.08,34589.04,2025-08-01,2026-08-01,False
E00026,P0033,C0007,1178,1178,28.62,33714.36,2025-07-01,2026-07-01,False
E00027,P0487,C0007,292,292,72.61,21202.12,2025-10-01,2026-10-01,False
E00028,P0446,C0007,1907,1907,28.27,53910.89,2025-07-01,2026-07-01,False
E00029,P0112,C0007,20,20,34938.01,698760.2,2025-07-01,2026-07-01,False
E00030,P0494,C0007,5,5,27492.58,137462.9,2025-08-01,2026-08-01,False
E00031,P0330,C0007,11564,11564,58.0,670712.0,2025-07-01,2026-07-01,False
E00032,P0464,C0007,14,14,22351.6,312922.4,2025-07-01,2026-07-01,False
E00033,P0366,C0008,9967,9967,77.04,767857.68,2025-07-01,2026-07-01,False
E00034,P0482,C0008,3931,3931,51.31,201699.61,2025-07-01,2026-07-01,False
E00035,P0483,C0008,404,404,131.28,53037.12,2025-07-01,2026-07-01,False
E00036,P0450,C0008,469,469,63.39,29729.91,2025-07-01,2026-07-01,False
E00037,P0209,C0009,7288,7288,69.76,508410.88,2025-07-01,2026-07-01,False
E00038,P0017,C0009,25,25,35829.79,895744.75,2025-10-01,2026-10-01,False
E00039,P0463,C0009,1276,1276,28.46,36314.96,2025-07-01,2026-07-01,False
E00040,P0032,C0009,762,762,34.34,26167.08,2025-07-01,2026-07-01,False
E00041,P0093,C0009,21,21,48675.18,1022178.78,2025-07-01,2026-07-01,False
E00042,P0197,C0009,1616,1616,74.38,120198.08,2025-07-01,2026-07-01,False
E00043,P0088,C0010,512,512,119.93,61404.16,2025-07-01,2026-07-01,False
E00044,P0291,C0010,20,20,27042.34,540846.8,2025-07-01,2026-07-01,False
E00045,P0246,C0010,3,3,40643.47,121930.41,2025-07-01,2026-07-01,False
E00046,P0134,C0010,10151,10151,61.1,620226.1,2025-08-01,2026-08-01,False
E00047,P0391,C0011,29,29,37914.12,1099509.48,2025-07-01,2026-07-01,False
E00048,P0038,C0011,27,27,36655.6,989701.2,2025-07-01,2026-07-01,False
E00049,P0154,C0011,320,320,89.88,28761.6,2025-07-01,2026-07-01,False
E00050,P0234,C0011,286,286,147.01,42044.86,2025-07-01,2026-07-01,False
E00051,P0496,C0011,281,281,96.95,27242.95,2025-10-01,2026-10-01,False
E00052,P0442,C0011,561,561,30.98,17379.78,2025-07-01,2026-07-01,False
E00053,P0138,C0012,11018,11018,104.36,1149838.48,2025-07-01,2026-07-01,False
E00054,P0282,C0012,15,15,19478.82,292182.3,2025-07-01,2026-07-01,False
E00055,P0214,C0012,29,29,44868.75,1301193.75,2025-07-01,2026-07-01,False
E00056,P0236,C0012,29,29,53188.97,1542480.13,2025-07-01,2026-07-01,False
E00057,P0027,C0012,1344,1344,30.06,40400.64,2025-10-01,2026-10-01,False
E00058,P0170,C0012,11950,11950,86.35,1031882.5,2025-07-01,2026-07-01,False
E00059,P0225,C0013,443,443,75.74,33552.82,2025-07-01,2026-07-01,False
E00060,P0076,C0013,8,8,41927.1,335416.8,2025-07-01,2026-07-01,False
E00061,P0053,C0013,10766,10766,44.44,478441.04,2025-07-01,2026-07-01,False
E00062,P0338,C0013,2662,2662,116.17,309244.54,2025-07-01,2026-07-01,False
E00063,P0399,C0013,20,20,41133.61,822672.2,2025-07-01,2026-07-01,False
E00064,P0140,C0013,509,509,34.77,17697.93,2025-09-01,2026-09-01,False
E00065,P0142,C0013,5252,5252,57.66,302830.32,2025-07-01,2026-07-01,False
E00066,P0143,C0014,598,598,123.9,74092.2,2025-07-01,2026-07-01,False
E00067,P0332,C0014,23,23,53592.7,1232632.1,2025-07-01,2026-07-01,False
E00068,P0321,C0014,424,424,82.45,34958.8,2025-07-01,2026-07-01,False
E00069,P0368,C0014,273,273,28.48,7775.04,2025-07-01,2026-07-01,False
E00070,P0285,C0014,68,68,28.79,1957.72,2025-07-01,2026-07-01,False
E00071,P0110,C0015,448,448,29.47,13202.56,2025-07-01,2026-07-01,False
E00072,P0071,C0015,4,4,47765.12,191060.48,2025-07-01,2026-07-01,False
E00073,P0206,C0015,27,27,40089.58,1082418.66,2025-07-01,2026-07-01,False
E00074,P0289,C0015,1700,1700,29.59,50303.0,2025-10-01,2026-10-01,False
E00075,P0405,C0015,348,348,102.61,35708.28,2025-07-01,2026-07-01,False
E00076,P0430,C0015,418,418,84.13,35166.34,2025-08-01,2026-08-01,False
E00077,P0210,C0016,516,516,111.72,57647.52,2025-07-01,2026-07-01,False
E00078,P0139,C0016,3,3,33254.74,99764.22,2025-07-01,2026-07-01,False
E00079,P0326,C0016,1106,1106,31.83,35203.98,2025-07-01,2026-07-01,False
E00080,P0423,C0016,314,314,34.68,10889.52,2025-07-01,2026-07-01,False
E00081,P0296,C0016,466,466,87.97,40994.02,2025-08-01,2026-08-01,False
E00082,P0443,C0017,12,12,24947.49,299369.88,2025-10-01,2026-10-01,False
E00083,P0059,C0017,545,545,32.91,17935.95,2025-07-01,2026-07-01,False
E00084,P0475,C0017,469,469,70.21,32928.49,2025-07-01,2026-07-01,False
E00085,P0433,C0018,11,11,46909.91,516009.01,2025-07-01,2026-07-01,False
E00086,P0114,C0018,1317,1317,99.11,130527.87,2025-09-01,2026-09-01,False
E00087,P0142,C0018,520,520,101.21,52629.2,2025-09-01,2026-09-01,False
E00088,P0193,C0018,1499,1499,30.55,45794.45,2025-07-01,2026-07-01,False
E00089,P0351,C0018,446,446,33.11,14767.06,2025-07-01,2026-07-01,False
E00090,P0445,C0018,4149,4149,91.96,381542.04,2025-07-01,2026-07-01,False
E00091,P0487,C0018,249,249,97.53,24284.97,2025-07-01,2026-07-01,False
E00092,P0027,C0019,1341,1341,32.91,44132.31,2025-07-01,2026-07-01,False
E00093,P0455,C0019,28,28,27083.61,758341.08,2025-07-01,2026-07-01,False
E00094,P0093,C0019,2,2,21649.31,43298.62,2025-07-01,2026-07-01,False
E00095,P0109,C0020,7770,7770,96.33,748484.1,2025-08-01,2026-08-01,False
E00096,P0095,C0020,1095,1095,33.37,36540.15,2025-07-01,2026-07-01,False
E00097,P0300,C0020,521,521,28.61,14905.81,2025-08-01,2026-08-01,False
E00098,P0471,C0020,820,820,31.67,25969.4,2025-09-01,2026-09-01,False
E00099,P0113,C0021,21,21,46088.89,967866.69,2025-07-01,2026-07-01,False
E00100,P0211,C0021,1022,1022,32.97,33695.34,2025-07-01,2026-07-01,False
E00101,P0332,C0021,26,26,42644.87,1108766.62,2025-07-01,2026-07-01,False
E00102,P0381,C0021,2662,2662,60.18,160199.16,2025-07-01,2026-07-01,False
E00103,P0026,C0021,20,20,19579.45,391589.0,2025-07-01,2026-07-01,False
E00104,P0049,C0021,1298,1298,33.51,43495.98,2025-07-01,2026-07-01,False
E00105,P0488,C0022,11744,11744,110.65,1299473.6,2025-10-01,2026-10-01,False
E00106,P0062,C0022,7139,7139,71.69,511794.91,2025-07-01,2026-07-01,False
E00107,P0398,C0022,8,8,37934.25,303474.0,2025-07-01,2026-07-01,False
E00108,P0116,C0022,408,408,30.85,12586.8,2025-07-01,2026-07-01,False
E00109,P0079,C0022,4,4,26857.1,107428.4,2025-07-01,2026-07-01,False
E00110,P0256,C0022,1060,1060,28.94,30676.4,2025-07-01,2026-07-01,False
E00111,P0408,C0023,821,821,29.29,24047.09,2025-08-01,2026-08-01,False
E00112,P0178,C0023,29,29,42517.04,1232994.16,2025-07-01,2026-07-01,False
E00113,P0187,C0023,3659,3659,119.05,435603.95,2025-07-01,2026-07-01,False
E00114,P0221,C0023,1235,1235,34.72,42879.2,2025-07-01,2026-07-01,False
E00115,P0014,C0023,132,132,32.62,4305.84,2025-09-01,2026-09-01,False
E00116,P0450,C0023,473,473,123.76,58538.48,2025-07-01,2026-07-01,False
E00117,P0487,C0024,594,594,107.37,63777.78,2025-07-01,2026-07-01,False
E00118,P0113,C0024,25,25,48489.32,1212233.0,2025-07-01,2026-07-01,False
E00119,P0106,C0024,268,268,28.33,7592.44,2025-07-01,2026-07-01,False
E00120,P0317,C0024,1589,1589,34.22,54375.58,2025-07-01,2026-07-01,False
E00121,P0036,C0024,9,9,20046.7,180420.3,2025-07-01,2026-07-01,False
E00122,P0267,C0024,20,20,34601.76,692035.2,2025-10-01,2026-10-01,False
E00123,P0034,C0025,7013,7013,96.97,680050.61,2025-08-01,2026-08-01,False
E00124,P0308,C0025,2,2,45380.29,90760.58,2025-08-01,2026-08-01,False
E00125,P0141,C0025,24,24,46402.78,1113666.72,2025-10-01,2026-10-01,False
E00126,P0250,C0025,1901,1901,29.62,56307.62,2025-10-01,2026-10-01,False
E00127,P0319,C0026,1941,1941,30.05,58327.05,2025-07-01,2026-07-01,False
E00128,P0375,C0026,341,341,156.98,53530.18,2025-07-01,2026-07-01,False
