adoption_id,cust_id,entitlement_id,product_id,feature_id,month,usage_events
A0000001,C0001,E00001,P0165,F00736,2025-07-01,0
A0000002,C0001,E00001,P0165,F00736,2025-08-01,0
A0000003,C0001,E00001,P0165,F00736,2025-09-01,0
A0000004,C0001,E00001,P0165,F00736,2025-10-01,0
A0000005,C0001,E00001,P0165,F00736,2025-11-01,0
A0000006,C0001,E00001,P0165,F00736,2025-12-01,0
A0000007,C0001,E00001,P0165,F00736,2026-01-01,0
A0000008,C0001,E00001,P0165,F00736,2026-02-01,0
A0000009,C0001,E00001,P0165,F00736,2026-03-01,3553501
A0000010,C0001,E00001,P0165,F00736,2026-04-01,2525053
A0000011,C0001,E00001,P0165,F00736,2026-05-01,3295942
A0000012,C0001,E00001,P0165,F00736,2026-06-01,3342498
A0000013,C0001,E00001,P0165,F00737,2025-07-01,0
A0000014,C0001,E00001,P0165,F00737,2025-08-01,0
A0000015,C0001,E00001,P0165,F00737,2025-09-01,0
A0000016,C0001,E00001,P0165,F00737,2025-10-01,0
A0000017,C0001,E00001,P0165,F00737,2025-11-01,0
A0000018,C0001,E00001,P0165,F00737,2025-12-01,0
A0000019,C0001,E00001,P0165,F00737,2026-01-01,0
A0000020,C0001,E00001,P0165,F00737,2026-02-01,0
A0000021,C0001,E00001,P0165,F00737,2026-03-01,402118
A0000022,C0001,E00001,P0165,F00737,2026-04-01,1099754
A0000023,C0001,E00001,P0165,F00737,2026-05-01,736075
A0000024,C0001,E00001,P0165,F00737,2026-06-01,981528
A0000025,C0001,E00001,P0165,F00738,2025-07-01,0
A0000026,C0001,E00001,P0165,F00738,2025-08-01,0
A0000027,C0001,E00001,P0165,F00738,2025-09-01,0
A0000028,C0001,E00001,P0165,F00738,2025-10-01,0
A0000029,C0001,E00001,P0165,F00738,2025-11-01,0
A0000030,C0001,E00001,P0165,F00738,2025-12-01,0
A0000031,C0001,E00001,P0165,F00738,2026-01-01,0
A0000032,C0001,E00001,P0165,F00738,2026-02-01,0
A0000033,C0001,E00001,P0165,F00738,2026-03-01,0
A0000034,C0001,E00001,P0165,F00738,2026-04-01,0
A0000035,C0001,E00001,P0165,F00738,2026-05-01,0
A0000036,C0001,E00001,P0165,F00738,2026-06-01,0
A0000037,C0001,E00001,P0165,F00739,2025-07-01,0
A0000038,C0001,E00001,P0165,F00739,2025-08-01,0
A0000039,C0001,E00001,P0165,F00739,2025-09-01,0
A0000040,C0001,E00001,P0165,F00739,2025-10-01,0
A0000041,C0001,E00001,P0165,F00739,2025-11-01,0
A0000042,C0001,E00001,P0165,F00739,2025-12-01,0
A0000043,C0001,E00001,P0165,F00739,2026-01-01,0
A0000044,C0001,E00001,P0165,F00739,2026-02-01,0
A0000045,C0001,E00001,P0165,F00739,2026-03-01,0
A0000046,C0001,E00001,P0165,F00739,2026-04-01,0
A0000047,C0001,E00001,P0165,F00739,2026-05-01,0
A0000048,C0001,E00001,P0165,F00739,2026-06-01,0
A0000049,C0001,E00001,P0165,F00740,2025-07-01,0
A0000050,C0001,E00001,P0165,F00740,2025-08-01,0
A0000051,C0001,E00001,P0165,F00740,2025-09-01,0
A0000052,C0001,E00001,P0165,F00740,2025-10-01,0
A0000053,C0001,E00001,P0165,F00740,2025-11-01,0
A0000054,C0001,E00001,P0165,F00740,2025-12-01,90129
A0000055,C0001,E00001,P0165,F00740,2026-01-01,106342
A0000056,C0001,E00001,P0165,F00740,2026-02-01,83040
A0000057,C0001,E00001,P0165,F00740,2026-03-01,160891
A0000058,C0001,E00001,P0165,F00740,2026-04-01,110212
A0000059,C0001,E00001,P0165,F00740,2026-05-01,121591
A0000060,C0001,E00001,P0165,F00740,2026-06-01,156935
A0000061,C0001,E00002,P0248,F01108,2025-07-01,0
A0000062,C0001,E00002,P0248,F01108,2025-08-01,0
A0000063,C0001,E00002,P0248,F01108,2025-09-01,0
A0000064,C0001,E00002,P0248,F01108,2025-10-01,0
A0000065,C0001,E00002,P0248,F01108,2025-11-01,0
A0000066,C0001,E00002,P0248,F01108,2025-12-01,0
A0000067,C0001,E00002,P0248,F01108,2026-01-01,0
A0000068,C0001,E00002,P0248,F01108,2026-02-01,0
A0000069,C0001,E00002,P0248,F01108,2026-03-01,0
A0000070,C0001,E00002,P0248,F01108,2026-04-01,0
A0000071,C0001,E00002,P0248,F01108,2026-05-01,0
A0000072,C0001,E00002,P0248,F01108,2026-06-01,0
A0000073,C0001,E00002,P0248,F01109,2025-07-01,0
A0000074,C0001,E00002,P0248,F01109,2025-08-01,0
A0000075,C0001,E00002,P0248,F01109,2025-09-01,0
A0000076,C0001,E00002,P0248,F01109,2025-10-01,0
A0000077,C0001,E00002,P0248,F01109,2025-11-01,0
A0000078,C0001,E00002,P0248,F01109,2025-12-01,0
A0000079,C0001,E00002,P0248,F01109,2026-01-01,0
A0000080,C0001,E00002,P0248,F01109,2026-02-01,0
A0000081,C0001,E00002,P0248,F01109,2026-03-01,0
A0000082,C0001,E00002,P0248,F01109,2026-04-01,0
A0000083,C0001,E00002,P0248,F01109,2026-05-01,15217
A0000084,C0001,E00002,P0248,F01109,2026-06-01,54331
A0000085,C0001,E00002,P0248,F01110,2025-07-01,0
A0000086,C0001,E00002,P0248,F01110,2025-08-01,0
A0000087,C0001,E00002,P0248,F01110,2025-09-01,0
A0000088,C0001,E00002,P0248,F01110,2025-10-01,0
A0000089,C0001,E00002,P0248,F01110,2025-11-01,64469
A0000090,C0001,E00002,P0248,F01110,2025-12-01,85266
A0000091,C0001,E00002,P0248,F01110,2026-01-01,46665
A0000092,C0001,E00002,P0248,F01110,2026-02-01,48331
A0000093,C0001,E00002,P0248,F01110,2026-03-01,63152
A0000094,C0001,E00002,P0248,F01110,2026-04-01,43987
A0000095,C0001,E00002,P0248,F01110,2026-05-01,66009
A0000096,C0001,E00002,P0248,F01110,2026-06-01,100093
A0000097,C0001,E00002,P0248,F01111,2025-07-01,0
A0000098,C0001,E00002,P0248,F01111,2025-08-01,0
A0000099,C0001,E00002,P0248,F01111,2025-09-01,0
A0000100,C0001,E00002,P0248,F01111,2025-10-01,0
A0000101,C0001,E00002,P0248,F01111,2025-11-01,0
A0000102,C0001,E00002,P0248,F01111,2025-12-01,0
A0000103,C0001,E00002,P0248,F01111,2026-01-01,0
A0000104,C0001,E00002,P0248,F01111,2026-02-01,0
A0000105,C0001,E00002,P0248,F01111,2026-03-01,0
A0000106,C0001,E00002,P0248,F01111,2026-04-01,0
A0000107,C0001,E00002,P0248,F01111,2026-05-01,0
A0000108,C0001,E00002,P0248,F01111,2026-06-01,0
A0000109,C0001,E00002,P0248,F01112,2025-07-01,0
A0000110,C0001,E00002,P0248,F01112,2025-08-01,0
A0000111,C0001,E00002,P0248,F01112,2025-09-01,0
A0000112,C0001,E00002,P0248,F01112,2025-10-01,0
A0000113,C0001,E00002,P0248,F01112,2025-11-01,0
A0000114,C0001,E00002,P0248,F01112,2025-12-01,0
A0000115,C0001,E00002,P0248,F01112,2026-01-01,0
A0000116,C0001,E00002,P0248,F01112,2026-02-01,0
A0000117,C0001,E00002,P0248,F01112,2026-03-01,0
A0000118,C0001,E00002,P0248,F01112,2026-04-01,0
A0000119,C0001,E00002,P0248,F01112,2026-05-01,0
A0000120,C0001,E00002,P0248,F01112,2026-06-01,0
A0000121,C0001,E00003,P0253,F01134,2025-07-01,0
A0000122,C0001,E00003,P0253,F01134,2025-08-01,0
A0000123,C0001,E00003,P0253,F01134,2025-09-01,0
A0000124,C0001,E00003,P0253,F01134,2025-10-01,0
A0000125,C0001,E00003,P0253,F01134,2025-11-01,0
A0000126,C0001,E00003,P0253,F01134,2025-12-01,921548
A0000127,C0001,E00003,P0253,F01134,2026-01-01,649487
A0000128,C0001,E00003,P0253,F01134,2026-02-01,746544
A0000129,C0001,E00003,P0253,F01134,2026-03-01,363218
A0000130,C0001,E00003,P0253,F01134,2026-04-01,852428
A0000131,C0001,E00003,P0253,F01134,2026-05-01,1035351
A0000132,C0001,E00003,P0253,F01134,2026-06-01,634182
A0000133,C0001,E00003,P0253,F01135,2025-07-01,0
A0000134,C0001,E00003,P0253,F01135,2025-08-01,0
A0000135,C0001,E00003,P0253,F01135,2025-09-01,0
A0000136,C0001,E00003,P0253,F01135,2025-10-01,0
A0000137,C0001,E00003,P0253,F01135,2025-11-01,0
A0000138,C0001,E00003,P0253,F01135,2025-12-01,0
A0000139,C0001,E00003,P0253,F01135,2026-01-01,0
A0000140,C0001,E00003,P0253,F01135,2026-02-01,0
A0000141,C0001,E00003,P0253,F01135,2026-03-01,0
A0000142,C0001,E00003,P0253,F01135,2026-04-01,0
A0000143,C0001,E00003,P0253,F01135,2026-05-01,0
A0000144,C0001,E00003,P0253,F01135,2026-06-01,0
A0000145,C0001,E00003,P0253,F01136,2025-07-01,0
A0000146,C0001,E00003,P0253,F01136,2025-08-01,0
A0000147,C0001,E00003,P0253,F01136,2025-09-01,0
A0000148,C0001,E00003,P0253,F01136,2025-10-01,0
A0000149,C0001,E00003,P0253,F01136,2025-11-01,0
A0000150,C0001,E00003,P0253,F01136,2025-12-01,55914
A0000151,C0001,E00003,P0253,F01136,2026-01-01,42354
A0000152,C0001,E00003,P0253,F01136,2026-02-01,40957
A0000153,C0001,E00003,P0253,F01136,2026-03-01,60154
A0000154,C0001,E00003,P0253,F01136,2026-04-01,24854
A0000155,C0001,E00003,P0253,F01136,2026-05-01,41883
A0000156,C0001,E00003,P0253,F01136,2026-06-01,60792
A0000157,C0001,E00003,P0253,F01137,2025-07-01,0
A0000158,C0001,E00003,P0253,F01137,2025-08-01,0
A0000159,C0001,E00003,P0253,F01137,2025-09-01,0
A0000160,C0001,E00003,P0253,F01137,2025-10-01,0
A0000161,C0001,E00003,P0253,F01137,2025-11-01,0
A0000162,C0001,E00003,P0253,F01137,2025-12-01,0
A0000163,C0001,E00003,P0253,F01137,2026-01-01,0
A0000164,C0001,E00003,P0253,F01137,2026-02-01,0
A0000165,C0001,E00003,P0253,F01137,2026-03-01,0
A0000166,C0001,E00003,P0253,F01137,2026-04-01,0
A0000167,C0001,E00003,P0253,F01137,2026-05-01,0
A0000168,C0001,E00003,P0253,F01137,2026-06-01,0
A0000169,C0001,E00004,P0194,F00863,2025-07-01,0
A0000170,C0001,E00004,P0194,F00863,2025-08-01,0
A0000171,C0001,E00004,P0194,F00863,2025-09-01,0
A0000172,C0001,E00004,P0194,F00863,2025-10-01,27227
A0000173,C0001,E00004,P0194,F00863,2025-11-01,170345
A0000174,C0001,E00004,P0194,F00863,2025-12-01,82809
A0000175,C0001,E00004,P0194,F00863,2026-01-01,129245
A0000176,C0001,E00004,P0194,F00863,2026-02-01,45005
A0000177,C0001,E00004,P0194,F00863,2026-03-01,151963
A0000178,C0001,E00004,P0194,F00863,2026-04-01,107522
A0000179,C0001,E00004,P0194,F00863,2026-05-01,168900
A0000180,C0001,E00004,P0194,F00863,2026-06-01,125889
A0000181,C0001,E00004,P0194,F00864,2025-07-01,0
A0000182,C0001,E00004,P0194,F00864,2025-08-01,0
A0000183,C0001,E00004,P0194,F00864,2025-09-01,0
A0000184,C0001,E00004,P0194,F00864,2025-10-01,0
A0000185,C0001,E00004,P0194,F00864,2025-11-01,0
A0000186,C0001,E00004,P0194,F00864,2025-12-01,0
A0000187,C0001,E00004,P0194,F00864,2026-01-01,0
A0000188,C0001,E00004,P0194,F00864,2026-02-01,0
A0000189,C0001,E00004,P0194,F00864,2026-03-01,0
A0000190,C0001,E00004,P0194,F00864,2026-04-01,0
A0000191,C0001,E00004,P0194,F00864,2026-05-01,0
A0000192,C0001,E00004,P0194,F00864,2026-06-01,0
A0000193,C0001,E00004,P0194,F00865,2025-07-01,0
A0000194,C0001,E00004,P0194,F00865,2025-08-01,0
A0000195,C0001,E00004,P0194,F00865,2025-09-01,0
A0000196,C0001,E00004,P0194,F00865,2025-10-01,0
A0000197,C0001,E00004,P0194,F00865,2025-11-01,0
A0000198,C0001,E00004,P0194,F00865,2025-12-01,0
A0000199,C0001,E00004,P0194,F00865,2026-01-01,0
A0000200,C0001,E00004,P0194,F00865,2026-02-01,62551
A0000201,C0001,E00004,P0194,F00865,2026-03-01,32459
A0000202,C0001,E00004,P0194,F00865,2026-04-01,52303
A0000203,C0001,E00004,P0194,F00865,2026-05-01,70107
A0000204,C0001,E00004,P0194,F00865,2026-06-01,70408
A0000205,C0002,E00005,P0149,F00669,2025-07-01,0
A0000206,C0002,E00005,P0149,F00669,2025-08-01,0
A0000207,C0002,E00005,P0149,F00669,2025-09-01,0
