feature_id,meaningful_floor_events,deep_threshold_events
F00001,398446,1593787
F00002,590681,2362725
F00003,257742,1030968
F00004,201559,806236
F00005,15808,63233
F00006,15993,63974
F00007,30470,121882
F00008,20843,83373
F00009,686467,2745869
F00010,13138,52554
F00011,7213,28852
F00012,286753,1147013
F00013,116577,466308
F00014,17561,70244
F00015,1265707,5062828
F00016,8047,32190
F00017,5622,22488
F00018,330669,1322678
F00019,8606,34424
F00020,11349,45397
F00021,1272097,5088388
F00022,392328,1569312
F00023,31972,127888
F00024,140273,561092
F00025,438692,1754771
F00026,11458,45834
F00027,31133,124533
F00028,7927,31708
F00029,21893,87575
F00030,27519,110076
F00031,153075,612301
F00032,24567,98268
F00033,19567,78270
F00034,9155,36620
F00035,179777,719109
F00036,19646,78585
F00037,20389,81557
F00038,5139,20557
F00039,21231,84926
F00040,15538,62154
F00041,732766,2931065
F00042,21901,87604
F00043,10206,40826
F00044,18029,72117
F00045,172585,690343
F00046,8686,34746
F00047,191527,766110
F00048,6280,25120
F00049,468259,1873036
F00050,20598,82393
F00051,12830,51320
F00052,827855,3311423
F00053,1177510,4710040
F00054,180093,720375
F00055,7233,28935
F00056,7376,29504
F00057,29576,118305
F00058,18438,73754
F00059,526087,2104351
F00060,1220643,4882574
F00061,24353,97415
F00062,15438,61752
F00063,552789,2211156
F00064,182564,730259
F00065,6454,25819
F00066,655970,2623880
F00067,15264,61059
F00068,6712,26849
F00069,196330,785321
F00070,11816,47266
F00071,18978,75912
F00072,4387,17548
F00073,570531,2282125
F00074,471944,1887777
F00075,22726,90904
F00076,380957,1523829
F00077,116694,466776
F00078,8633,34534
F00079,13471,53884
F00080,865851,3463406
F00081,1368624,5474497
F00082,22385,89541
F00083,10215,40863
F00084,15442,61768
F00085,190124,760499
F00086,21855,87420
F00087,8679,34718
F00088,6469,25876
F00089,14812,59248
F00090,20232,80928
F00091,836223,3344895
F00092,827083,3308334
F00093,6636,26544
F00094,7186,28744
F00095,1010092,4040368
F00096,292327,1169310
F00097,16431,65725
F00098,33012,132050
F00099,18932,75728
F00100,3952,15810
F00101,5886,23545
F00102,243796,975185
F00103,7227,28911
F00104,19519,78078
F00105,21249,84996
F00106,616085,2464342
F00107,167610,670440
F00108,14128,56512
F00109,3848,15392
F00110,1150566,4602264
F00111,22029,88118
F00112,236140,944560
F00113,12610,50442
F00114,706171,2824686
F00115,10007,40030
F00116,10814,43259
F00117,35589,142357
F00118,1154100,4616402
F00119,38114,152458
F00120,325365,1301463
F00121,458639,1834556
F00122,5986,23945
F00123,8754,35016
F00124,15137,60550
F00125,27205,108823
