feature_id,feature_name,feature_description,product_id,meaningful_floor_events,deep_threshold_events
F00001,Advanced DNS Security,Advanced DNS Security capability delivered within PA-5410 SKU-0001,P0001,398446,1593787
F00002,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within PA-5410 SKU-0001,P0001,590681,2362725
F00003,Enterprise DLP,Enterprise DLP capability delivered within PA-5410 SKU-0001,P0001,257742,1030968
F00004,Advanced WildFire,Advanced WildFire capability delivered within PA-5410 SKU-0001,P0001,201559,806236
F00005,App-ID,App-ID capability delivered within PA-5410 SKU-0001,P0001,15808,63233
F00006,Decryption,Decryption capability delivered within PA-5410 SKU-0001,P0001,15993,63974
F00007,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0002,P0002,30470,121882
F00008,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within CN-Series SKU-0002,P0002,20843,83373
F00009,Advanced WildFire,Advanced WildFire capability delivered within CN-Series SKU-0002,P0002,686467,2745869
F00010,Decryption,Decryption capability delivered within CN-Series SKU-0002,P0002,13138,52554
F00011,Advanced DNS Security,Advanced DNS Security capability delivered within CN-Series SKU-0002,P0002,7213,28852
F00012,Advanced WildFire,Advanced WildFire capability delivered within PA-5445 SKU-0003,P0003,286753,1147013
F00013,App-ID,App-ID capability delivered within PA-5445 SKU-0003,P0003,116577,466308
F00014,GlobalProtect,GlobalProtect capability delivered within PA-5445 SKU-0003,P0003,17561,70244
F00015,Enterprise DLP,Enterprise DLP capability delivered within PA-5445 SKU-0003,P0003,1265707,5062828
F00016,Advanced URL Filtering,Advanced URL Filtering capability delivered within PA-5445 SKU-0003,P0003,8047,32190
F00017,Decryption,Decryption capability delivered within Prisma Access Remote Networks SKU-0004,P0004,5622,22488
F00018,AI Access Security,AI Access Security capability delivered within Prisma Access Remote Networks SKU-0004,P0004,330669,1322678
F00019,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Remote Networks SKU-0004,P0004,8606,34424
F00020,Advanced WildFire,Advanced WildFire capability delivered within Prisma Access Remote Networks SKU-0004,P0004,11349,45397
F00021,App-ID,App-ID capability delivered within Prisma Access Remote Networks SKU-0004,P0004,1272097,5088388
F00022,Advanced WildFire,Advanced WildFire capability delivered within Cloud NGFW for AWS SKU-0005,P0005,392328,1569312
F00023,Advanced URL Filtering,Advanced URL Filtering capability delivered within Cloud NGFW for AWS SKU-0005,P0005,31972,127888
F00024,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Cloud NGFW for AWS SKU-0005,P0005,140273,561092
F00025,Decryption,Decryption capability delivered within Cloud NGFW for AWS SKU-0005,P0005,438692,1754771
F00026,Advanced DNS Security,Advanced DNS Security capability delivered within Cloud NGFW for AWS SKU-0005,P0005,11458,45834
F00027,App-ID,App-ID capability delivered within Cloud NGFW for AWS SKU-0005,P0005,31133,124533
F00028,Advanced WildFire,Advanced WildFire capability delivered within PA-440 SKU-0006,P0006,7927,31708
F00029,Advanced DNS Security,Advanced DNS Security capability delivered within PA-440 SKU-0006,P0006,21893,87575
F00030,Enterprise DLP,Enterprise DLP capability delivered within PA-440 SKU-0006,P0006,27519,110076
F00031,Decryption,Decryption capability delivered within PA-440 SKU-0006,P0006,153075,612301
F00032,IoT/OT Security,IoT/OT Security capability delivered within PA-440 SKU-0006,P0006,24567,98268
F00033,App-ID,App-ID capability delivered within PA-440 SKU-0006,P0006,19567,78270
F00034,Enterprise DLP,Enterprise DLP capability delivered within PA-5410 SKU-0007,P0007,9155,36620
F00035,Advanced DNS Security,Advanced DNS Security capability delivered within PA-5410 SKU-0007,P0007,179777,719109
F00036,App-ID,App-ID capability delivered within PA-5410 SKU-0007,P0007,19646,78585
F00037,Advanced DNS Security,Advanced DNS Security capability delivered within Prisma Access Browser SKU-0008,P0008,20389,81557
F00038,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Browser SKU-0008,P0008,5139,20557
F00039,Decryption,Decryption capability delivered within Prisma Access Browser SKU-0008,P0008,21231,84926
F00040,Advanced WildFire,Advanced WildFire capability delivered within CN-Series SKU-0009,P0009,15538,62154
F00041,Advanced URL Filtering,Advanced URL Filtering capability delivered within CN-Series SKU-0009,P0009,732766,2931065
F00042,Advanced DNS Security,Advanced DNS Security capability delivered within CN-Series SKU-0009,P0009,21901,87604
F00043,GlobalProtect,GlobalProtect capability delivered within CN-Series SKU-0009,P0009,10206,40826
F00044,Decryption,Decryption capability delivered within Prisma Access Remote Networks SKU-0010,P0010,18029,72117
F00045,Enterprise DLP,Enterprise DLP capability delivered within Prisma Access Remote Networks SKU-0010,P0010,172585,690343
F00046,Advanced Threat Prevention,Advanced Threat Prevention capability delivered within Prisma Access Remote Networks SKU-0010,P0010,8686,34746
F00047,Advanced URL Filtering,Advanced URL Filtering capability delivered within Prisma Access Remote Networks SKU-0010,P0010,191527,766110
F00048,App-ID,App-ID capability delivered within Prisma Access Remote Networks SKU-0010,P0010,6280,25120
F00049,SaaS Security,SaaS Security capability delivered within Prisma Access Remote Networks SKU-0010,P0010,468259,1873036
F00050,Advanced WildFire,Advanced WildFire capability delivered within PA-1410 SKU-0011,P0011,20598,82393
