product_id,product_name,product_platform,unit_of_measure
P0001,PA-5410 SKU-0001,hardware_ngfw,device_license
P0002,CN-Series SKU-0002,software_ngfw,credits
P0003,PA-5445 SKU-0003,hardware_ngfw,device_license
P0004,Prisma Access Remote Networks SKU-0004,sase,seats
P0005,Cloud NGFW for AWS SKU-0005,cloud_ngfw,usage_units
P0006,PA-440 SKU-0006,hardware_ngfw,device_license
P0007,PA-5410 SKU-0007,hardware_ngfw,device_license
P0008,Prisma Access Browser SKU-0008,sase,seats
P0009,CN-Series SKU-0009,software_ngfw,credits
P0010,Prisma Access Remote Networks SKU-0010,sase,seats
P0011,PA-1410 SKU-0011,hardware_ngfw,device_license
P0012,PA-3440 SKU-0012,hardware_ngfw,device_license
P0013,CN-Series SKU-0013,software_ngfw,credits
P0014,CN-Series SKU-0014,software_ngfw,credits
P0015,PA-3410 SKU-0015,hardware_ngfw,device_license
P0016,CN-Series SKU-0016,software_ngfw,credits
P0017,PA-460 SKU-0017,hardware_ngfw,device_license
P0018,Prisma Access Mobile Users SKU-0018,sase,seats
P0019,Cloud NGFW for Azure SKU-0019,cloud_ngfw,usage_units
P0020,VM-100 SKU-0020,software_ngfw,credits
P0021,VM-500 SKU-0021,software_ngfw,credits
P0022,VM-300 SKU-0022,software_ngfw,credits
P0023,PA-3410 SKU-0023,hardware_ngfw,device_license
P0024,PA-7500 SKU-0024,hardware_ngfw,device_license
P0025,Prisma Access Mobile Users SKU-0025,sase,seats
P0026,PA-410 SKU-0026,hardware_ngfw,device_license
P0027,VM-100 SKU-0027,software_ngfw,credits
P0028,Prisma Access Mobile Users SKU-0028,sase,seats
P0029,Prisma Access Mobile Users SKU-0029,sase,seats
P0030,Prisma Access Browser SKU-0030,sase,seats
P0031,CN-Series SKU-0031,software_ngfw,credits
P0032,VM-700 SKU-0032,software_ngfw,credits
P0033,VM-500 SKU-0033,software_ngfw,credits
P0034,Prisma Access Mobile Users SKU-0034,sase,seats
P0035,VM-700 SKU-0035,software_ngfw,credits
P0036,PA-410 SKU-0036,hardware_ngfw,device_license
P0037,VM-700 SKU-0037,software_ngfw,credits
P0038,PA-3410 SKU-0038,hardware_ngfw,device_license
P0039,VM-100 SKU-0039,software_ngfw,credits
P0040,CN-Series SKU-0040,software_ngfw,credits
P0041,VM-300 SKU-0041,software_ngfw,credits
P0042,Cloud NGFW for Azure SKU-0042,cloud_ngfw,usage_units
P0043,PA-460 SKU-0043,hardware_ngfw,device_license
P0044,VM-100 SKU-0044,software_ngfw,credits
P0045,CN-Series SKU-0045,software_ngfw,credits
P0046,PA-5445 SKU-0046,hardware_ngfw,device_license
P0047,Cloud NGFW for Azure SKU-0047,cloud_ngfw,usage_units
P0048,PA-1410 SKU-0048,hardware_ngfw,device_license
P0049,VM-300 SKU-0049,software_ngfw,credits
P0050,VM-100 SKU-0050,software_ngfw,credits
P0051,VM-500 SKU-0051,software_ngfw,credits
P0052,Prisma Access Browser SKU-0052,sase,seats
P0053,Prisma Access Remote Networks SKU-0053,sase,seats
P0054,PA-440 SKU-0054,hardware_ngfw,device_license
P0055,PA-440 SKU-0055,hardware_ngfw,device_license
